la_code,name,imd_2015,pcsmoke_12,pcsmoke_13,pcsmoke_14,pcsmoke_15,pc_pa_12,pc_pa_13,pc_pa_14,pc_pa_15,excess_wt_12_14,dm_10_11,dm_10_11,dm_10_11,dm_10_11,dm_10_11
E06000042,Milton Keynes,18.03,18.42,20.01,19.35,16.42,57.44,56.83,58.69,56.27,69.06237419,4.68,4.91,5.14,5.38,5.52
E06000043,Brighton and Hove,23.44,24.73,26.07,24.42,20.86,63.44,63.82,56.22,68.42,52.42755536,3.81,3.99,4.16,4.14,4.14
E06000044,Portsmouth,27.05,24.08,22.04,21.48,19.80,51.04,51.14,61.07,60.48,63.18073938,4.91,5.06,5.29,5.44,5.57
E06000045,Southampton,26.88,21.34,21.39,20.38,20.46,56.05,58.57,54.80,54.19,62.20225847,4.88,5.10,5.37,5.35,5.46
E06000046,Isle of Wight,23.09,19.40,16.40,16.77,16.39,56.83,55.93,53.20,55.87,66.19690487,5.72,6.00,6.24,6.43,6.60
E06000047,County Durham,25.74,22.24,22.09,20.32,19.00,52.23,51.40,55.49,57.31,68.98242696,6.27,6.54,6.77,6.89,6.98
E06000049,Cheshire East,14.13,15.90,16.06,11.49,12.47,62.61,56.23,56.36,60.07,66.56260903,5.60,5.79,5.91,6.03,6.10
E06000050,Cheshire West and Chester,18.09,14.73,17.38,19.36,13.12,55.71,57.87,63.90,60.38,64.56803374,5.51,5.69,5.95,6.13,6.39
E06000051,Shropshire,16.69,18.96,16.53,15.10,14.57,58.03,60.61,63.24,62.16,65.21710534,5.38,5.60,5.78,6.05,6.17
E06000052,Cornwall,23.83,20.51,18.09,18.41,18.17,53.86,60.89,58.56,54.68,69.88094099,5.46,5.60,5.81,5.96,6.24
E06000054,Wiltshire,13.47,16.92,17.18,17.67,14.31,57.55,58.12,63.98,59.99,63.59417214,5.03,5.22,5.43,5.64,5.80
E06000055,Bedford,19.24,16.95,15.63,13.51,17.20,58.53,61.76,59.38,59.78,63.51771467,6.17,6.33,6.60,6.78,6.85
E06000056,Central Bedfordshire,12.20,18.21,18.67,18.52,16.64,55.82,53.80,60.90,66.89,69.08907204,5.30,5.52,5.69,5.89,6.00
E06000057,Northumberland,20.53,18.08,17.61,16.58,16.63,59.49,51.86,49.89,55.20,69.47833687,6.38,6.61,6.84,7.13,7.30
E07000004,Aylesbury Vale,11.18,14.84,13.11,16.29,11.51,52.31,64.08,61.46,61.48,62.25244169,4.86,5.13,5.44,5.73,5.84
E07000005,Chiltern,6.72,13.56,11.02,8.04,8.81,61.66,61.32,62.53,67.04,59.28886431,4.48,4.71,4.99,5.25,5.39
E07000006,South Bucks,9.33,14.02,14.22,13.73,9.22,59.68,62.64,58.94,60.20,60.92864908,4.76,4.97,5.13,5.22,5.65
E07000007,Wycombe,10.11,14.82,15.90,15.42,12.57,58.16,55.88,62.87,62.81,65.51607456,5.11,5.30,5.61,5.99,6.20
E07000008,Cambridge,13.75,13.39,9.18,16.46,17.69,64.71,66.86,76.75,69.80,48.3362564,3.27,3.35,3.45,3.36,3.35
E07000009,East Cambridgeshire,12.11,19.64,18.94,16.18,14.42,56.54,57.57,57.99,53.85,67.97538469,5.70,5.84,6.05,6.11,6.51
E07000010,Fenland,25.36,31.32,24.35,21.68,26.43,50.55,51.14,52.08,47.90,73.11564856,6.98,7.18,7.47,7.71,7.82
E07000011,Huntingdonshire,11.79,18.79,12.72,15.16,13.88,62.19,60.14,62.82,57.88,67.28912384,5.40,5.60,5.81,5.96,6.07
E07000012,South Cambridgeshire,8.05,15.47,11.51,11.55,12.80,62.66,61.74,67.32,59.48,63.61614136,4.46,4.58,4.71,4.79,4.84
E07000026,Allerdale,22.55,21.75,16.84,17.85,17.19,52.35,58.67,56.49,53.18,68.63522913,5.70,6.12,6.64,7.03,7.47
E07000027,Barrow-in-Furness,31.40,24.22,24.12,24.05,20.22,58.10,49.89,52.56,52.64,68.16978769,5.43,5.63,6.01,6.47,7.60
E07000028,Carlisle,22.48,23.05,18.79,20.86,13.93,53.92,55.88,52.37,57.40,67.42708071,5.07,5.28,5.84,6.41,6.84
E07000029,Copeland,25.95,25.88,19.67,26.19,19.65,53.66,55.02,52.05,58.72,71.38334385,6.67,6.97,7.66,8.11,8.41
E07000030,Eden,15.41,12.74,12.53,11.60,14.72,57.42,61.04,58.14,57.38,66.83258303,5.05,5.28,5.76,6.37,6.81
E07000031,South Lakeland,12.23,13.09,12.16,11.48,10.54,57.52,62.45,58.91,56.28,62.89809097,4.66,4.86,5.11,5.78,6.32
E07000032,Amber Valley,18.12,20.98,9.97,17.14,18.44,57.44,55.31,58.16,54.64,70.31053611,6.14,6.37,6.58,6.65,6.76
E07000033,Bolsover,24.78,18.79,23.00,25.55,19.56,50.44,52.00,44.91,52.92,73.06229928,7.14,7.32,7.66,7.97,8.25
