la_code,name,imd_2015,pcsmoke_12,pcsmoke_13,pcsmoke_14,pcsmoke_15,pc_pa_12,pc_pa_13,pc_pa_14,pc_pa_15,excess_wt_12_14,dm_10_11,dm_10_11,dm_10_11,dm_10_11,dm_10_11
E07000154,Northampton,24.31,21.83,20.70,24.37,18.77,55.31,55.63,59.06,55.31,65.69889089,5.44,5.63,5.93,6.03,6.07
E07000155,South Northamptonshire,7.85,12.31,8.39,10.44,12.17,59.37,60.40,64.83,63.63,68.2497125,4.85,4.99,5.17,5.34,5.44
E07000156,Wellingborough,21.74,28.45,20.34,15.94,18.26,55.31,56.14,53.27,51.41,70.5681625,6.28,6.57,6.84,7.07,7.15
E07000163,Craven,12.53,11.61,17.16,13.39,14.79,57.93,57.90,60.35,58.84,65.5086459,5.33,5.64,5.85,6.07,6.06
E07000164,Hambleton,12.67,21.86,12.98,15.47,17.27,62.34,57.98,61.04,58.59,66.67044099,5.23,5.43,5.62,5.81,5.85
E07000165,Harrogate,10.37,19.97,12.65,11.23,10.16,60.40,57.15,59.31,56.78,64.87715607,4.44,4.71,5.05,5.38,5.53
E07000166,Richmondshire,13.35,19.43,17.22,24.13,10.63,57.13,66.46,60.97,59.73,62.50521537,4.82,5.03,5.32,5.44,5.60
E07000167,Ryedale,15.46,22.18,14.71,11.84,12.59,60.93,57.21,65.67,61.44,68.75152286,4.91,5.18,5.41,5.90,6.16
E07000168,Scarborough,25.24,24.56,21.97,19.50,12.89,47.91,62.88,51.42,59.42,68.52549999,5.32,5.54,5.83,6.13,6.42
E07000169,Selby,12.86,13.17,11.96,19.23,15.90,59.81,64.46,60.44,60.08,69.92549792,5.38,5.58,5.90,6.28,6.53
E07000170,Ashfield,25.42,25.52,18.94,19.66,17.40,54.23,56.76,50.80,57.39,69.01869311,5.97,6.18,6.38,6.63,6.81
E07000171,Bassetlaw,22.73,18.95,22.79,16.27,23.54,56.89,59.53,59.46,62.57,70.05390268,6.10,6.44,6.84,7.33,7.75
E07000172,Broxtowe,14.31,18.58,17.44,14.92,12.05,55.72,60.83,61.53,54.70,63.1427171,5.46,5.78,6.09,6.26,6.44
E07000173,Gedling,15.27,15.49,16.83,19.05,17.43,54.59,64.39,63.12,64.76,69.40228353,5.62,5.83,5.97,6.08,6.27
E07000174,Mansfield,27.76,24.47,24.79,18.79,15.62,52.08,50.21,53.33,50.80,70.28055577,5.95,6.22,6.48,6.67,6.88
E07000175,Newark and Sherwood,18.76,18.49,19.17,20.95,17.12,57.25,54.29,62.32,60.12,67.3569661,5.38,5.66,5.99,6.34,6.58
E07000176,Rushcliffe,7.70,13.85,10.89,10.11,7.48,66.31,60.13,62.61,65.23,62.12456913,4.43,4.73,5.02,5.27,5.47
E07000177,Cherwell,12.61,16.92,15.49,13.21,20.49,59.33,62.31,60.85,58.84,64.07484659,4.94,5.09,5.35,5.48,5.59
E07000178,Oxford,17.95,16.29,17.10,13.45,13.67,62.39,62.97,65.91,62.88,53.48256008,3.67,3.68,3.92,3.83,3.81
E07000179,South Oxfordshire,8.56,11.91,12.59,13.46,9.53,61.37,61.99,62.81,61.27,61.11496411,4.29,4.43,4.57,4.75,4.87
E07000180,Vale of White Horse,8.46,10.09,14.46,14.76,18.10,59.35,64.32,65.36,61.77,63.10003772,4.58,4.69,4.90,5.06,5.36
E07000181,West Oxfordshire,8.12,13.42,15.73,12.21,16.57,64.01,58.64,59.68,59.17,64.68661169,4.75,4.86,4.99,5.17,5.25
E07000187,Mendip,17.20,15.15,19.88,16.55,19.58,59.84,61.61,58.21,62.57,63.02170278,5.18,5.35,5.60,5.83,5.99
E07000188,Sedgemoor,19.51,20.62,20.32,19.34,13.93,54.52,54.03,56.07,57.51,70.79987194,5.93,6.20,6.48,6.73,6.89
E07000189,South Somerset,16.64,21.88,21.48,19.79,17.18,58.20,60.15,60.58,58.19,65.92971254,5.66,5.88,6.13,6.51,6.70
E07000190,Taunton Deane,16.51,16.54,17.68,15.17,14.18,58.66,58.13,58.67,59.42,64.3273316,5.28,5.50,5.75,6.01,6.27
E07000191,West Somerset,23.29,19.92,20.25,11.49,12.62,59.11,54.04,55.12,52.07,67.20821479,6.04,6.32,6.68,7.02,7.11
E07000192,Cannock Chase,20.93,25.76,21.38,19.53,18.88,52.44,49.21,48.22,46.30,69.52302142,5.90,6.27,6.64,6.97,7.24
E07000193,East Staffordshire,18.82,10.71,17.41,15.45,14.13,58.88,55.74,55.58,58.17,68.97078372,5.83,6.02,6.31,6.55,6.75
E07000194,Lichfield,12.71,18.60,20.02,13.57,16.01,59.31,58.70,56.60,60.86,66.66843356,5.32,5.56,5.84,6.23,6.44
E07000195,Newcastle-under-Lyme,18.47,17.66,20.99,15.61,13.06,53.33,58.44,51.76,50.66,67.76567246,6.36,6.47,6.80,7.01,7.12
E07000196,South Staffordshire,12.45,14.12,13.81,6.91,9.04,53.80,61.64,56.59,60.07,69.57206826,5.87,6.09,6.29,6.61,6.76
E07000197,Stafford,13.49,15.80,10.90,13.47,12.33,57.12,56.19,56.54,65.80,68.26563428,5.11,5.36,5.68,6.15,6.28
E07000198,Staffordshire Moorlands,15.22,11.19,9.14,13.71,14.08,57.24,52.70,56.72,60.73,65.70338757,6.75,6.86,7.07,7.25,7.53
E07000199,Tamworth,20.25,20.10,10.73,8.48,12.26,54.81,52.34,48.73,57.19,73.80245596,5.72,6.09,6.51,6.67,6.74
E07000200,Babergh,15.15,11.77,11.32,15.46,17.28,57.58,58.94,58.78,54.80,65.86998975,5.22,5.50,5.77,6.03,6.10
E07000201,Forest Heath,18.02,22.60,16.59,24.46,18.77,54.47,56.16,57.97,58.16,68.36071415,5.38,5.60,5.88,6.07,6.26
E07000202,Ipswich,26.09,19.90,24.14,24.65,18.34,54.12,55.63,54.34,58.48,66.60328433,5.06,5.29,5.48,5.68,5.75
E07000203,Mid Suffolk,12.68,16.79,15.24,13.89,11.56,56.39,62.77,56.01,63.80,67.91148936,5.26,5.45,5.63,5.92,6.04
E07000204,St. Edmundsbury,15.27,19.54,15.08,19.58,15.94,57.66,56.99,51.67,57.42,66.737395,5.12,5.30,5.55,5.85,6.05
E07000205,Suffolk Coastal,13.07,18.07,16.46,20.09,13.46,62.44,65.69,60.93,59.94,61.92394308,5.10,5.32,5.47,5.75,5.89
E07000206,Waveney,25.14,19.75,27.95,18.47,18.73,51.58,56.29,61.14,51.90,65.97848469,6.08,6.37,6.77,7.19,7.16
E07000207,Elmbridge,7.53,14.55,9.97,16.49,12.94,57.66,61.45,64.88,65.99,58.21371999,3.97,4.16,4.21,4.24,4.33
E07000208,Epsom and Ewell,8.54,12.13,25.68,14.30,13.83,59.93,59.11,59.06,61.71,60.84205434,4.75,4.96,5.11,5.23,5.31
E07000209,Guildford,9.39,11.70,15.73,19.42,14.03,59.39,62.78,64.36,65.36,57.37595647,3.93,4.03,4.10,4.00,4.09
E07000210,Mole Valley,8.87,11.35,15.30,16.95,13.32,59.61,61.26,63.72,61.90,61.26872851,4.52,4.69,4.90,4.98,5.04
E07000211,Reigate and Banstead,10.34,14.59,12.56,12.85,15.18,57.92,65.87,63.32,55.74,63.345193,4.46,4.62,4.85,4.99,5.01
E07000212,Runnymede,10.94,13.33,15.82,15.27,11.11,58.70,62.43,59.52,60.51,61.67694422,5.18,5.34,5.38,5.46,5.66
E07000213,Spelthorne,13.19,15.89,20.06,17.18,15.24,57.62,58.28,55.75,54.04,62.81558285,5.82,5.91,5.90,6.09,6.24
E07000214,Surrey Heath,7.73,14.64,13.40,10.75,12.72,59.76,59.37,65.89,62.84,65.40786861,4.73,4.97,5.14,5.21,5.34
E07000215,Tandridge,10.59,12.72,14.66,9.12,17.87,64.90,62.45,65.06,61.03,62.73195038,4.60,4.60,4.92,5.02,5.18
E07000216,Waverley,7.07,16.09,13.81,16.71,11.71,65.12,59.19,69.33,69.37,60.09279139,4.42,4.47,4.55,4.54,4.65
E07000217,Woking,9.88,15.82,13.97,10.53,16.19,61.79,57.87,59.56,61.59,61.28444508,5.09,5.23,5.35,5.32,5.45
E07000218,North Warwickshire,16.48,14.21,14.65,15.34,10.80,56.59,60.99,57.52,60.00,71.36795865,5.60,5.91,6.19,6.50,6.60
E07000219,Nuneaton and Bedworth,22.93,22.23,13.68,20.57,15.91,52.84,53.30,52.17,58.58,67.34385369,6.31,6.66,7.00,7.28,7.52
E07000220,Rugby,13.05,18.22,15.91,14.52,11.93,53.99,58.89,59.32,61.08,66.59299416,5.30,5.44,5.72,6.03,6.20
E07000221,Stratford-on-Avon,11.41,20.36,14.23,11.53,11.88,58.40,59.39,60.25,63.61,65.2650557,4.72,4.85,5.06,5.25,5.38
E07000222,Warwick,11.70,15.40,19.03,14.56,9.75,55.28,63.31,61.14,62.05,60.97247962,4.59,4.78,4.96,5.25,5.45
E07000223,Adur,18.28,19.91,14.79,18.42,17.04,48.41,57.49,58.77,57.57,64.28607582,5.89,6.09,6.32,7.21,7.41
E07000224,Arun,17.67,18.33,15.97,15.79,12.29,63.03,55.72,50.66,59.02,67.9787601,6.08,6.33,6.61,6.93,7.15
E07000225,Chichester,12.99,19.70,15.79,15.37,11.71,58.85,63.62,57.10,59.31,61.82589341,5.84,6.04,6.21,6.41,6.50
E07000226,Crawley,17.83,22.12,28.06,17.90,21.62,58.00,56.09,54.08,57.46,65.0360789,5.54,5.70,5.89,6.18,6.31
E07000227,Horsham,9.77,11.07,12.58,15.26,12.88,63.19,61.16,63.78,61.13,60.27060019,4.53,4.68,4.91,5.12,5.22
E07000228,Mid Sussex,7.62,20.94,14.39,14.93,14.46,60.06,53.94,61.90,65.51,61.40248542,4.69,4.82,4.98,5.13,5.24
E07000229,Worthing,17.45,18.24,19.05,21.87,15.81,53.15,59.57,54.41,58.76,65.32249283,5.30,5.48,5.71,6.30,6.42
E07000234,Bromsgrove,11.07,14.17,9.71,11.62,13.68,60.60,60.64,65.66,59.31,68.8569186,5.04,5.32,5.73,6.20,6.35
E07000235,Malvern Hills,16.07,15.03,15.60,13.97,9.54,62.28,58.60,61.68,58.10,60.86423562,5.28,5.64,5.95,6.50,6.67
E07000236,Redditch,21.22,25.14,24.28,17.58,21.51,53.68,59.32,58.48,58.76,66.99310058,5.33,5.82,6.31,6.74,6.98
E07000237,Worcester,19.90,19.31,13.94,23.78,22.40,57.14,58.21,62.76,56.47,65.38529966,5.62,5.85,6.11,6.44,6.63
E07000238,Wychavon,16.00,16.52,9.79,15.41,10.22,60.12,57.71,57.55,60.23,67.94731984,6.35,6.46,6.70,6.94,7.02
E07000239,Wyre Forest,22.07,13.63,18.53,17.31,18.21,56.48,56.44,54.47,56.43,68.22632446,5.93,6.20,6.65,7.47,7.79
E07000240,St Albans,7.67,15.08,12.44,8.83,8.58,65.81,63.56,63.68,65.90,60.87177677,3.84,3.96,4.10,4.19,4.26
E07000241,Welwyn Hatfield,12.88,19.47,19.82,18.85,19.08,52.83,56.89,57.45,56.44,57.95184475,4.89,4.83,5.07,5.05,5.14
E07000242,East Hertfordshire,8.14,14.76,14.57,17.46,16.15,59.05,69.71,61.43,64.49,64.40085154,4.32,4.44,4.67,4.77,4.88
E07000243,Stevenage,18.39,24.01,15.37,23.07,21.63,52.55,51.72,54.05,51.46,66.44477764,5.20,5.28,5.52,5.74,5.95
E08000001,Bolton,28.42,22.84,22.74,21.56,18.45,53.44,49.00,60.02,55.18,63.23057081,6.80,7.18,7.51,7.67,7.90
E08000002,Bury,21.77,20.77,18.59,19.04,19.46,52.29,55.15,52.19,57.59,67.13651778,5.41,5.65,6.12,6.51,6.94
E08000003,Manchester,40.51,24.37,23.82,25.47,22.71,51.56,57.80,53.44,55.26,59.69325097,5.40,5.55,5.80,5.88,6.16
E08000004,Oldham,30.29,24.17,20.99,19.32,22.24,47.03,50.65,45.30,45.00,67.82487059,6.15,6.41,6.82,7.15,7.59
E08000005,Rochdale,33.68,24.42,21.60,22.52,21.97,51.95,51.12,48.86,55.23,69.35674481,6.15,6.40,6.88,7.21,7.83
E08000006,Salford,32.96,27.54,23.96,24.52,22.34,45.42,48.45,50.51,49.48,65.18805611,5.31,5.61,5.87,5.96,5.99
E08000007,Stockport,19.11,15.89,14.47,15.89,15.14,57.83,55.31,57.22,57.72,64.30181491,5.44,5.53,5.68,5.85,5.96
E08000008,Tameside,29.38,25.72,23.97,22.85,21.74,49.62,47.57,50.67,52.92,66.77355973,6.25,6.52,6.82,7.16,7.32
E08000009,Trafford,15.39,19.22,19.24,15.84,16.44,57.46,55.89,62.53,57.35,61.54489444,5.57,5.79,5.86,5.96,6.09
E08000010,Wigan,24.86,22.74,20.10,20.74,18.67,48.33,50.90,50.09,54.59,68.10614147,6.25,6.49,6.79,6.97,7.03
E08000011,Knowsley,41.39,22.89,22.66,21.73,21.44,52.15,49.97,45.70,52.99,69.05963473,6.42,6.64,6.90,6.99,7.09
E08000012,Liverpool,41.13,23.72,23.48,22.82,23.07,52.03,49.48,47.57,46.20,64.20638646,5.44,5.65,5.80,5.86,6.00
E08000013,St. Helens,29.81,23.65,18.32,18.27,20.25,57.73,46.84,52.81,50.76,70.31567712,6.56,6.72,6.91,6.96,7.08
E08000014,Sefton,25.73,18.63,18.09,15.82,14.32,53.05,55.38,56.95,56.43,70.27538503,5.68,5.98,6.24,6.39,6.47
E08000015,Wirral,26.89,18.64,19.28,17.24,18.88,56.37,57.96,59.37,51.48,66.15844287,6.00,6.28,6.54,6.49,6.83
E08000016,Barnsley,29.57,24.44,22.40,22.54,21.24,50.81,51.57,45.78,50.68,71.63627653,6.38,6.59,6.78,6.92,7.02
E08000017,Doncaster,29.05,23.44,22.04,21.49,19.57,52.06,55.14,50.86,52.57,74.76091816,6.62,6.91,7.18,7.43,7.65
E08000018,Rotherham,28.28,22.10,20.84,19.42,18.10,52.38,50.43,52.11,53.02,73.25522983,5.97,6.21,6.36,6.55,6.71
E08000019,Sheffield,27.57,20.16,18.77,17.21,18.33,54.62,58.31,59.68,54.17,63.16344323,5.67,5.81,6.01,6.07,6.18
E08000021,Newcastle upon Tyne,28.26,23.69,24.90,19.79,18.61,57.61,55.20,58.96,55.75,61.31992426,5.00,5.30,5.52,5.62,5.80
E08000022,North Tyneside,21.28,22.59,19.30,19.28,18.01,59.50,55.18,56.80,53.56,67.44170896,5.94,6.16,6.42,6.63,6.81
E08000023,South Tyneside,30.61,21.82,21.08,19.47,17.41,51.79,52.58,49.17,47.94,71.88367063,6.43,6.72,6.86,6.91,7.05
E08000024,Sunderland,29.73,23.77,21.24,22.07,21.46,47.82,48.92,49.26,50.61,70.8484828,5.82,6.09,6.32,6.46,6.59
E08000025,Birmingham,37.77,16.89,18.95,17.89,15.88,46.91,51.52,54.09,51.08,64.38173414,6.77,7.09,7.61,8.06,8.27
E08000026,Coventry,28.11,17.15,18.82,15.84,16.64,49.35,51.99,55.40,58.79,62.36193064,5.55,5.74,6.01,6.21,6.55
E08000027,Dudley,22.96,16.77,20.21,18.43,18.49,48.38,47.26,53.39,46.46,69.27733161,5.90,6.19,6.49,6.83,7.04
E08000028,Sandwell,34.61,22.95,22.65,20.35,17.71,43.81,43.68,47.13,50.82,68.55030398,7.05,7.42,7.84,8.30,8.55
E08000029,Solihull,17.24,12.92,13.69,12.17,11.62,56.97,59.33,61.40,56.34,64.43829306,5.63,5.78,6.21,6.75,6.92
E08000030,Walsall,30.37,21.51,19.52,19.10,17.60,50.51,50.66,49.12,49.50,68.84911782,7.72,8.02,8.25,8.64,8.72
E08000031,Wolverhampton,33.18,22.94,21.57,20.89,19.27,51.86,54.06,53.29,49.86,67.51915555,7.13,7.44,7.70,7.91,8.06
E08000032,Bradford,33.17,22.34,22.75,20.33,20.88,49.43,53.55,50.60,55.89,69.71365374,6.87,7.01,7.44,7.81,8.01
E08000033,Calderdale,24.61,21.57,21.11,19.91,18.74,50.28,56.66,52.98,56.47,65.15901945,5.48,5.59,5.76,5.87,6.06
E08000034,Kirklees,23.96,20.61,19.18,20.64,16.42,55.82,49.84,48.15,54.80,65.71241135,5.72,5.85,6.19,6.46,6.74
E08000035,Leeds,26.62,22.72,21.48,22.16,18.51,61.32,57.68,63.76,56.34,62.31718067,4.86,5.05,5.27,5.55,5.83
E08000036,Wakefield,26.89,25.12,23.45,22.38,21.93,58.01,48.21,54.50,57.31,70.18904529,5.97,6.17,6.37,6.66,6.90
E08000037,Gateshead,25.93,20.68,21.43,19.88,18.30,51.30,54.52,55.76,46.30,68.90181805,5.93,6.08,6.30,6.49,6.53
E09000002,Barking and Dagenham,34.64,22.75,22.69,23.09,18.40,48.85,46.16,46.40,45.96,68.41924371,6.18,6.42,6.83,7.27,7.30
E09000003,Barnet,17.81,15.57,15.29,13.96,14.59,56.01,55.09,58.50,59.47,57.81660188,5.68,5.76,5.90,6.03,6.04
E09000004,Bexley,16.17,15.35,17.53,14.84,14.12,51.38,53.10,52.16,53.91,66.75397397,5.74,6.31,6.71,6.86,6.85
E09000005,Brent,26.66,16.74,13.98,16.15,12.19,52.32,48.13,52.21,49.18,59.24531356,6.78,7.71,7.84,7.92,8.04
E09000006,Bromley,15.16,17.41,15.13,12.73,14.20,62.14,58.69,60.23,62.88,63.7730834,5.01,5.10,5.17,5.24,5.40
E09000007,Camden,24.96,17.53,17.26,15.94,15.90,55.86,61.50,65.53,63.99,46.00503277,3.80,3.76,4.01,3.86,4.06
E09000008,Croydon,23.64,18.56,18.14,17.65,17.94,56.75,55.99,57.15,60.57,62.98309058,5.71,6.10,6.39,6.48,6.60
E09000009,Ealing,23.59,17.38,14.92,16.29,15.17,52.27,49.56,55.88,54.71,60.2517107,6.47,6.59,6.81,6.92,7.37
E09000010,Enfield,26.99,19.32,16.72,15.01,16.82,59.29,52.43,53.71,55.48,64.84605356,6.29,6.76,6.83,7.04,7.13
E09000011,Greenwich,25.54,18.60,17.79,18.13,14.22,53.01,54.30,56.44,51.49,64.00224833,5.12,5.57,5.77,6.13,6.22
E09000012,Hackney,35.28,22.33,20.81,20.13,20.52,58.06,59.84,59.47,53.80,50.42037212,5.21,5.35,5.48,5.77,5.74
E09000013,Hammersmith and Fulham,24.36,22.26,22.77,22.91,18.70,64.89,64.00,64.22,61.03,52.09962716,4.22,4.25,4.31,4.41,4.39
E09000014,Haringey,31.04,19.84,18.48,20.46,21.99,60.69,58.52,59.13,58.20,55.49717819,5.18,5.53,5.72,5.89,5.90
E09000015,Harrow,14.30,11.61,11.74,11.92,13.22,54.47,51.65,51.44,55.00,59.99413136,7.31,7.99,8.18,8.46,8.85
E09000016,Havering,17.88,20.19,19.76,19.76,17.32,55.33,50.50,57.03,55.42,65.47487979,5.33,5.44,5.73,5.91,6.00
E09000017,Hillingdon,18.11,17.80,14.06,17.54,16.87,56.44,57.38,54.96,51.46,63.44087455,5.93,6.12,6.43,6.36,6.70
E09000018,Hounslow,22.47,18.52,15.02,14.41,14.13,54.52,51.86,56.24,54.99,62.23966436,6.03,6.13,6.28,6.48,6.82
E09000019,Islington,32.53,19.32,19.71,20.96,17.59,62.00,61.99,66.25,60.32,52.28974808,4.79,4.84,4.90,5.01,5.06
E09000020,Kensington and Chelsea,23.38,17.94,16.88,20.32,18.83,65.29,57.50,56.12,67.05,48.46314308,3.55,3.93,4.26,4.18,4.18
E09000021,Kingston upon Thames,11.13,15.82,15.09,12.39,16.20,56.38,63.01,60.60,66.13,58.15220878,4.47,4.75,4.80,4.86,4.85
E09000022,Lambeth,28.91,22.00,19.86,19.02,21.22,63.51,67.00,64.13,66.08,49.63522198,4.20,4.36,4.71,4.99,5.18
E09000023,Lewisham,28.59,21.34,22.71,21.15,16.64,54.29,58.05,57.11,58.77,60.74365579,5.42,5.56,5.67,6.06,6.26
E09000024,Merton,14.93,16.77,12.81,12.83,14.70,54.37,59.80,60.50,58.68,58.99150527,5.01,5.23,5.37,5.57,6.00
E09000025,Newham,32.94,19.26,18.87,20.88,20.05,51.41,43.49,50.38,44.82,60.33971229,6.85,6.94,7.15,7.65,8.00
E09000026,Redbridge,20.24,16.60,11.74,13.76,11.53,53.50,52.22,48.34,57.52,62.47964392,7.01,7.14,7.53,7.91,7.93
E09000027,Richmond upon Thames,10.04,12.97,11.28,12.75,11.83,67.62,66.38,71.19,68.52,51.77161047,3.45,3.60,3.69,3.69,3.75
E09000028,Southwark,29.49,19.89,17.99,16.77,15.85,58.68,58.15,62.57,59.75,55.66954897,4.45,4.51,4.94,5.45,5.61
E09000029,Sutton,14.58,17.45,18.12,14.83,14.45,61.97,58.59,59.86,58.81,63.24616798,5.26,5.44,5.71,5.86,6.11
E09000030,Tower Hamlets,35.66,18.16,18.60,22.67,19.96,55.14,54.17,55.22,57.54,52.71665455,5.85,5.98,6.34,6.65,6.76
E09000031,Waltham Forest,30.19,20.25,18.79,21.65,17.64,57.96,58.79,53.11,58.12,58.14569131,5.90,5.93,6.26,6.41,6.59
E09000032,Wandsworth,18.30,15.06,16.76,14.73,13.66,64.95,63.01,66.53,69.34,53.25828079,3.91,4.23,4.25,4.20,4.34
E09000033,Westminster,27.69,17.74,17.35,17.56,15.04,54.98,57.39,61.52,57.60,52.66659729,3.70,4.08,4.33,4.35,4.20
