la_code,p_cycle_25_74,p_walk_25_74,m_cycle_25_74,m_walk_25_74,f_cycle_25_74,f_walk_25_74
E06000014,11.98924077,12.80294122,12.6763792,9.301614793,11.21223467,16.76219003
E07000163,1.310444241,13.77276897,1.976639712,9.254267745,0.544600939,18.96713615
E07000164,3.540827635,10.67383842,4.526970751,7.378374406,2.327263958,14.72928976
E07000165,2.248115147,10.78973422,3.293430001,7.736188389,1.011008015,14.40353853
E07000166,2.518647185,13.19607643,3.936370989,12.04277883,0.65111874,14.71528353
E07000167,4.153561517,12.08603145,4.941373534,8.308207705,3.181818182,16.74586777
E07000168,2.441326531,17.92602041,3.562991177,12.02449255,1.18099572,24.5571266
E07000169,3.689849174,7.631074934,3.825558929,4.294783329,3.529181099,11.58094242
E08000016,0.760371969,11.08473648,1.264579791,5.910952506,0.157502864,17.27090493
E08000017,2.848991638,9.161829808,3.202242112,4.721092125,2.427446326,14.46110692
E08000018,0.897421951,8.030022843,1.477990575,3.852401484,0.209200048,12.98228931
E08000019,1.082694038,9.226203231,1.722274553,6.309057558,0.330967614,12.65484972
E08000032,0.750741511,9.818099024,1.228548264,6.8623035,0.175029172,13.37955551
E08000033,0.742043075,9.991726349,1.250241826,7.187076804,0.158324538,13.21315482
E08000034,0.957425545,9.294423346,1.611271588,6.691286702,0.169010773,12.43331423
E08000035,1.243888991,9.340929976,1.989526623,6.080646389,0.398453248,13.03757853
E08000036,1.346349161,10.34355406,2.151036831,5.583410709,0.392538107,15.98583928
E06000015,4.26760371,10.48338031,6.44758641,6.472550666,1.634040687,15.32872731
E06000016,3.768642985,14.44357859,5.385162642,10.72092012,1.811351455,18.95099541
E06000018,3.512376716,12.99676078,4.966785447,9.02511988,1.738477223,17.84085421
E06000017,4.945925467,11.75862782,6.192967514,9.87954739,3.318513814,14.21086059
E07000032,1.425946804,9.883502443,2.286917927,5.412623185,0.351914414,15.46077327
E07000033,1.164158043,9.638601442,1.763830842,4.384784303,0.421237385,16.14743308
E07000034,1.426847258,10.43851415,2.363545318,6.444667001,0.346520358,15.04475888
E07000035,0.972469065,11.0257872,1.510353228,7.235079172,0.313409447,15.67047235
E07000036,4.314954418,9.04628331,5.900199601,4.479041916,2.385579633,14.60499466
E07000037,1.210471747,11.92327631,1.975720067,7.893358724,0.295874822,16.73968706
E07000038,0.729306257,7.004432533,1.213279198,3.606400764,0.162292238,10.98550562
E07000039,1.793978175,6.981660287,2.701583687,3.710795984,0.675847998,11.01122163
E07000129,2.678571429,5.54245283,3.803500646,2.921658576,1.356091942,8.623488141
E07000130,3.866753548,8.809459481,5.130834823,5.36818355,2.368549003,12.88810169
E07000131,2.554816806,8.170886971,3.014120668,5.139922978,1.991178324,11.89035917
E07000132,2.778459684,8.27958669,3.690756849,4.353304609,1.667738902,13.05983075
E07000133,2.920848324,10.11645522,4.183559044,6.969723109,1.384954359,13.9439723
E07000134,1.952271734,7.620685889,2.741738066,4.024479804,0.956849188,12.1550713
E07000135,2.842287695,7.972270364,4.019448947,4.683954619,1.489757914,11.75046555
E07000136,9.765085214,8.535237218,9.200300827,5.974763934,10.45879093,11.68018064
E07000137,4.694956791,12.09209338,5.505334627,8.698351115,3.68799113,16.30911633
E07000138,6.916963731,13.86663178,8.708368151,9.358959055,4.745713666,19.330102
E07000139,5.387318485,7.648183556,6.5260811,4.983975103,3.959704187,10.98817912
E07000140,5.356561381,6.333441876,4.956165985,4.284044418,5.860294118,8.911764706
E07000141,3.778753424,9.411234943,4.232822338,5.83766767,3.227548392,13.74927307
E07000142,3.070049465,8.587841072,3.504821295,5.32940701,2.532819635,12.61415525
E07000150,3.22140065,7.940470023,5.252008121,5.181392886,0.898626817,11.09652666
E07000151,1.352885235,7.724637237,1.869936744,4.988347575,0.7135506,11.10806175
E07000152,1.768812115,8.66067203,2.130930294,4.717731248,1.31165094,13.63849294
E07000153,1.985902887,9.767285746,2.50203832,5.778638402,1.357886905,14.62053571
E07000154,2.645742659,9.104395268,3.955019571,6.183677625,1.097195461,12.5588739
E07000155,1.415967175,6.076859127,1.752527684,3.312469909,0.992796174,9.552636358
E07000156,1.679815911,9.404996713,2.420845507,5.61683859,0.769287127,14.05963807
E07000170,2.670150849,10.40503623,4.105231483,5.222886128,0.897408666,16.80649958
E07000171,3.343314608,9.794847682,3.913630229,6.230319388,2.645910116,14.15369382
E07000172,4.196458403,8.147900657,5.939985242,4.857751906,2.121847715,12.0628262
E07000173,1.80882911,6.912762997,2.780973539,3.348276272,0.706348135,10.95514464
E07000174,1.656821784,9.707534937,2.549771106,5.392313425,0.603052956,14.79992462
E07000175,4.879878064,8.479907096,4.809294169,5.116177115,4.966798035,12.62214544
E07000176,2.801339771,5.400408891,3.503837345,2.993530759,1.972405291,8.240481722
E06000019,3.990887497,10.38769812,5.539512342,6.882957085,2.073618106,14.72673009
E06000051,3.413412564,10.5237691,4.323818581,7.126094759,2.285040777,14.73490105
E06000021,1.509624154,11.1937791,2.579576897,7.322599621,0.197686533,15.94048032
E06000020,2.315779578,7.505131379,3.470488082,4.753121453,0.892138684,10.89808628
E07000192,1.274255803,7.756569555,2.008512266,3.605757735,0.366538575,12.88796926
E07000193,3.865203687,10.09076475,5.351471977,5.952278774,2.032283673,15.1944959
E07000194,1.425731884,6.858727393,1.954397394,3.85078756,0.779716467,10.53435115
E07000195,1.362785951,8.223488392,2.270422096,5.106499181,0.275675171,11.95682646
E07000196,1.301377291,5.251057369,1.787129498,2.155650658,0.71397767,8.994201926
E07000197,3.096891502,9.09143664,4.530848329,6.098257641,1.401494364,12.63033475
E07000198,1.310539872,8.587950104,2.081327649,4.964929171,0.365394345,13.03052448
E07000199,2.567524627,7.461074039,3.730231492,3.92505157,1.119988586,11.86331859
E07000218,1.163704397,6.993451824,1.688364524,3.614049363,0.517658846,11.1547132
E07000219,2.449122518,8.554420367,3.459354453,4.262552301,1.207529844,13.8292011
E07000220,3.799042303,8.738326411,4.944816618,5.971372114,2.404692082,12.10557185
E07000221,2.497911778,8.177876775,2.826315981,5.104079631,2.100637223,11.89628653
E07000222,3.317925201,9.637695723,4.462242563,6.713554987,1.958668106,13.11108446
E08000025,1.345530398,8.033788409,2.076190026,5.018444513,0.46607275,11.66320373
E08000026,2.660592857,9.391770176,4.107707103,6.110042588,0.897545871,13.38996171
E08000027,1.201794018,8.101991426,2.034992305,4.855892065,0.171776875,12.11488733
E08000028,1.63707277,9.93123268,2.756007874,6.373732496,0.254680617,14.3263583
E08000029,1.474547234,4.92535487,2.229436738,2.42922333,0.591935869,7.843813872
E08000030,1.817524486,9.400950941,2.879040975,6.011594773,0.480281237,13.67068551
E08000031,2.485650235,9.315645555,3.840590997,5.549498231,0.805628363,13.98537729
E07000234,1.089471905,5.868587327,1.594511017,3.000579822,0.501041491,9.210155942
E07000235,2.242076871,7.28927849,3.199509654,5.516395955,1.071562383,9.456725365
E07000236,1.707132018,7.388817556,2.801075269,5.258064516,0.408475874,9.918304825
E07000237,4.579397656,12.85050195,6.371416927,8.074084137,2.423879296,18.59578408
E07000238,2.242658922,7.203936754,2.793235134,4.498999818,1.557336231,10.57087238
E07000239,1.962409498,8.056848931,3.058498798,4.558810435,0.635810119,12.2905329
E06000055,4.41251418,8.294014171,5.065131598,5.617044005,3.601710536,11.61984812
E06000056,2.146494468,6.699292375,2.488143631,3.744918699,1.715555366,10.42579101
E06000032,1.60418432,10.24749438,2.421871004,6.720883842,0.514585605,14.94683751
E06000031,7.594118598,7.574729359,8.581302718,4.79732896,6.379297917,10.99257551
E06000033,2.538894406,10.25984773,3.218141899,6.294926163,1.707703066,15.11169997
E06000034,1.632847448,6.056843502,2.13686938,2.639841488,0.996613822,10.37017085
E07000008,25.61008054,12.2693303,25.29934848,11.40165522,25.98894316,13.32725028
E07000009,3.694150161,5.72086596,3.077930583,3.809211962,4.487044449,8.180605295
E07000010,6.81061601,6.718993373,6.081814236,4.481336806,7.749283768,9.601006219
E07000011,4.203162088,6.822503852,4.186638706,4.42879968,4.223854932,9.820228232
E07000012,6.650335394,4.910890438,7.139853418,3.340141776,6.058404765,6.810257155
E07000066,1.801856643,7.184598996,2.548795115,2.99313052,0.857851581,12.48191277
E07000067,1.966139678,8.445821734,2.430815258,4.584268262,1.370410324,13.39646011
E07000068,0.884185609,6.384237825,1.030344914,3.756989382,0.702576112,9.648711944
E07000069,1.606862044,5.1922802,1.574643166,1.798140905,1.648351648,9.563055992
E07000070,3.354309881,7.646024387,3.72625553,4.467863648,2.88376074,11.66672153
E07000071,4.148783977,8.668584634,5.263897476,6.135124501,2.733078817,11.88496807
E07000072,0.685147267,5.219325878,1.013883492,2.621259759,0.271291972,8.490104514
E07000073,2.917893962,8.946980854,4.118476728,4.970380818,1.486513755,13.6880339
E07000074,2.292490119,6.731225296,2.207320481,3.55546242,2.403495994,10.87035688
E07000075,1.24037639,4.995111817,1.642868956,1.957108992,0.740080861,8.771328719
E07000076,4.388862671,8.69406667,4.382144801,5.113150323,4.397129187,13.10047847
E07000077,1.405759078,7.734914003,1.852590777,5.14735222,0.817704426,11.14028507
E07000095,1.401492778,6.083874778,1.945582212,2.711137117,0.734854821,10.21627435
E07000096,1.094298391,8.266008874,1.634485855,5.547073791,0.425941702,11.63006037
E07000242,1.45946218,7.478485514,1.898180282,4.656426351,0.910327113,11.01080305
E07000098,1.050247629,6.610089346,1.47431259,4.359623734,0.531296696,9.364104267
E07000099,2.276507679,8.384588604,2.743604082,5.043338459,1.697704634,12.52490256
E07000240,1.2423429,6.409594604,1.520254612,4.08800173,0.893099833,9.327068691
E07000243,2.688522646,7.53201328,3.291111833,4.162606907,1.95911414,11.61053597
E07000102,1.184489887,4.866465527,1.63545505,3.119479077,0.625586487,7.031592118
E07000103,2.084784972,11.30187575,2.850117919,7.777610517,1.128526646,15.70532915
E07000241,2.535491778,8.21672965,3.193426397,5.224333536,1.741335587,11.82868414
E07000143,4.057382988,8.895191173,4.048553302,6.267189849,4.068827835,12.30154958
E07000144,4.427052685,4.837001295,5.271273353,2.624878976,3.407663997,7.50811864
E07000145,4.824182603,10.70943862,5.348577803,6.235359732,4.175293306,16.24568668
E07000146,5.311365862,7.600284195,5.88336784,5.248447205,4.593670174,10.55115383
E07000147,4.779462726,10.19101217,5.064373366,7.181653591,4.429480447,13.88768765
E07000148,8.70528576,20.78212801,10.03397794,15.64243467,7.116705953,26.92712774
E07000149,3.691383196,5.51346711,3.597373839,3.391476633,3.807423036,8.13273233
E07000200,2.605705842,8.166628779,2.962772786,5.324775353,2.163262709,11.68798117
E07000201,4.759463385,8.920789541,4.740072469,6.751460475,4.785996155,11.8891025
E07000202,5.654596719,12.70341674,6.759091822,8.105284308,4.291100308,18.37979958
E07000203,3.776891141,6.151938319,4.33307854,4.371297535,3.056552407,8.45811162
E07000204,3.3862654,10.62108499,4.485776805,7.427200808,2.046258783,14.5135648
E07000205,5.092733354,7.149372367,5.086278055,4.72465705,5.100703713,10.14316913
E07000206,8.103153877,8.743471274,8.076398363,5.488858572,8.136144443,12.75653247
E09000007,3.891422961,14.80754173,5.083205146,12.56700695,2.529757942,17.367454
E09000001,1.765893037,47.27547931,2.209705373,50.04332756,1.147342995,43.4178744
E09000012,6.754349117,9.196517809,8.184601804,7.597031806,5.172939669,10.96504606
