msoa_code,imd15_score
E02000414,33.70
E02000415,30.83
E02000416,31.60
E02000417,14.61
E02000418,11.98
E02000419,29.74
E02000420,42.13
E02000421,45.05
E02000422,36.37
E02000423,28.16
E02000424,20.58
E02000425,28.53
E02000426,14.52
E02000427,29.23
E02000428,37.35
E02000429,12.81
E02000430,15.78
E02000431,14.59
E02000432,24.31
E02000433,11.77
E02000434,14.24
E02000435,19.70
E02000436,6.88
E02000437,16.13
E02000438,17.41
E02000439,17.82
E02000440,9.72
E02000441,14.82
E02000442,14.64
E02000443,22.97
E02000444,11.46
E02000445,21.90
E02000447,11.41
E02000448,5.93
E02000449,17.46
E02000451,6.30
E02000452,16.98
E02000453,10.33
E02000454,4.13
E02000455,16.93
E02000456,13.28
E02000457,9.14
E02000459,19.77
E02000460,23.16
E02000461,9.45
E02000462,17.11
E02000463,18.19
E02000464,33.44
E02000465,31.62
E02000466,25.03
E02000467,41.15
E02000468,21.29
E02000469,30.32
E02000470,14.36
E02000471,11.11
E02000472,13.58
E02000473,11.86
E02000474,20.84
E02000475,10.91
E02000476,27.26
E02000477,8.80
E02000478,7.42
E02000479,18.91
E02000480,21.87
E02000481,9.50
E02000482,3.66
E02000483,15.36
E02000484,11.99
E02000485,11.32
E02000486,11.15
E02000487,4.72
E02000488,8.65
E02000489,18.52
E02000490,18.03
E02000491,27.69
E02000492,14.03
E02000493,25.58
E02000494,9.22
E02000495,11.74
E02000496,18.90
E02000497,13.72
E02000498,11.38
E02000499,6.00
E02000500,7.15
E02000501,7.58
E02000502,9.47
E02000503,6.69
E02000504,4.97
E02000506,7.78
E02000507,12.11
E02000508,15.26
E02000509,15.39
E02000510,16.22
E02000511,15.72
E02000512,27.12
E02000513,31.42
E02000514,21.13
E02000515,24.24
E02000516,23.22
E02000517,29.97
E02000518,26.33
E02000519,29.13
E02000520,27.32
E02000521,28.54
E02000522,23.73
E02000523,21.05
E02000524,22.76
E02000525,24.95
E02000526,11.46
E02000528,30.90
E02000529,24.34
E02000530,37.09
E02000531,21.59
E02000532,16.29
E02000533,16.07
E02000534,14.40
E02000535,19.67
E02000536,20.99
E02000537,16.43
E02000538,25.01
E02000539,21.32
E02000540,21.78
E02000541,28.01
E02000542,25.82
E02000543,21.87
E02000544,13.95
E02000545,25.39
E02000546,22.77
E02000547,20.91
E02000548,29.67
E02000549,23.13
E02000550,27.37
E02000551,33.98
E02000552,18.93
E02000553,23.67
E02000554,40.98
E02000555,30.93
E02000556,33.29
E02000557,36.98
E02000558,51.63
E02000559,22.34
E02000560,32.59
E02000561,20.55
E02000562,29.14
E02000563,41.74
E02000564,32.09
E02000565,36.30
E02000566,23.49
E02000567,30.91
E02000568,40.25
E02000569,35.02
E02000570,20.56
E02000571,35.78
E02000572,41.17
E02000573,24.78
E02000574,29.36
E02000575,25.64
E02000576,33.90
E02000577,50.63
E02000578,47.98
E02000579,30.79
E02000580,36.46
E02000581,42.89
E02000582,18.52
E02000583,18.80
E02000584,13.08
E02000585,18.36
E02000586,11.32
E02000587,13.01
E02000588,12.32
E02000589,19.34
E02000590,22.14
E02000591,32.08
E02000592,11.67
E02000593,22.23
E02000594,13.58
E02000595,14.65
E02000596,14.12
E02000597,33.68
E02000598,5.30
E02000599,7.39
E02000600,9.33
E02000601,8.37
E02000602,20.57
E02000603,18.72
E02000604,10.33
E02000605,9.80
E02000606,10.97
E02000607,8.80
E02000608,13.70
E02000609,12.46
E02000610,13.56
E02000611,5.13
E02000612,7.88
E02000613,9.70
E02000614,13.21
E02000615,10.40
E02000616,8.83
E02000617,15.35
E02000619,32.56
E02000620,27.50
E02000621,29.94
E02000622,27.97
E02000623,33.97
E02000624,35.80
E02000625,37.29
E02000626,42.90
E02000627,31.69
E02000628,44.07
E02000629,24.89
E02000630,22.60
E02000631,23.32
E02000632,21.30
E02000633,37.73
E02000634,33.88
E02000635,30.59
E02000636,16.00
E02000637,23.67
E02000638,30.41
E02000639,34.56
E02000640,17.06
E02000641,37.93
E02000642,25.09
E02000643,25.53
E02000644,23.71
E02000645,23.86
E02000646,20.80
E02000647,21.44
E02000648,41.28
E02000649,28.04
E02000650,33.96
E02000651,24.52
E02000652,23.86
E02000653,31.12
E02000654,41.18
E02000655,33.73
E02000657,29.91
E02000658,26.89
E02000659,23.77
E02000660,25.66
E02000661,16.66
E02000662,26.70
E02000663,20.48
E02000664,38.00
E02000665,20.61
E02000666,21.80
E02000667,17.31
E02000668,18.36
E02000669,24.21
E02000670,37.09
E02000671,22.08
E02000672,35.12
E02000673,18.59
E02000674,19.66
E02000675,20.97
E02000676,22.12
E02000677,22.68
E02000678,34.09
E02000679,29.87
E02000680,30.83
E02000681,33.94
E02000682,34.10
E02000683,34.94
E02000685,30.87
E02000686,40.40
E02000687,25.35
E02000689,7.81
E02000690,6.44
E02000691,8.78
E02000692,6.13
E02000693,13.08
E02000694,11.72
E02000695,15.19
E02000696,20.05
E02000697,7.00
E02000698,5.83
E02000699,6.34
E02000700,23.99
E02000701,21.93
E02000702,26.35
E02000703,7.54
E02000704,13.51
E02000705,17.44
E02000706,29.20
E02000707,27.60
E02000708,8.13
E02000709,6.90
E02000710,22.27
E02000711,23.03
E02000712,21.77
E02000713,9.59
E02000714,29.60
E02000715,35.57
E02000716,34.93
E02000717,33.08
E02000718,40.39
E02000719,33.76
E02000720,26.57
E02000721,35.00
E02000722,29.85
E02000723,27.88
E02000724,28.63
E02000725,33.28
E02000726,31.89
E02000727,30.81
E02000728,27.80
E02000729,28.84
E02000730,28.36
E02000731,31.74
E02000732,38.94
E02000733,34.48
E02000734,34.65
E02000735,32.80
E02000736,36.57
E02000737,32.64
E02000738,25.34
E02000739,33.55
