date,geography,geography code,Rural Urban,Distance travelled to work: All categories: Distance travelled to work; measures: Value,Distance travelled to work: Less than 2km; measures: Value,Distance travelled to work: 2km to less than 5km; measures: Value,Distance travelled to work: 5km to less than 10km; measures: Value,Distance travelled to work: 10km to less than 20km; measures: Value,Distance travelled to work: 20km to less than 30km; measures: Value,Distance travelled to work: 30km to less than 40km; measures: Value,Distance travelled to work: 40km to less than 60km; measures: Value,Distance travelled to work: 60km and over; measures: Value,Distance travelled to work: Work mainly at or from home; measures: Value,Distance travelled to work: Other; measures: Value,Distance travelled to work: Total distance (km); measures: Value,Distance travelled to work: Average distance (km); measures: Value
2011,Gwynedd,W06000002,Total,53961,10020,5041,7791,6836,3659,2125,2075,2970,8546,4898,876729.1,21.6
2011,Conwy,W06000003,Total,50093,8887,7440,7418,6833,3388,1443,1571,2168,6743,4202,728060.5,18.6
2011,Denbighshire,W06000004,Total,41156,8053,4547,6222,5389,3923,2049,1211,1210,5136,3416,559366.3,17.2
2011,Flintshire,W06000005,Total,74049,9986,10683,14543,15888,4903,1885,1677,2793,6577,5114,1053004,16.9
2011,Wrexham,W06000006,Total,63614,9797,13113,12690,9986,3320,1653,1575,2009,5324,4147,787661.8,14.5
2011,Powys,W06000023,Total,63653,11815,4573,5641,8237,4766,2387,2573,3908,13621,6132,974537.3,22.2
2011,Ceredigion,W06000008,Total,32446,6248,2886,4015,3675,2065,1084,982,1760,6780,2951,483081.5,21.3
2011,Pembrokeshire,W06000009,Total,54217,10465,5680,7191,8462,3143,1173,954,2414,9395,5340,808117.5,20.5
2011,Carmarthenshire,W06000010,Total,80680,13248,8744,7827,15982,7899,2602,2518,3460,11630,6770,1266658.6,20.3
2011,Swansea,W06000011,Total,102793,18349,24588,23416,10795,2137,2001,2459,3671,8228,7149,1286508.4,14.7
2011,Neath Port Talbot,W06000012,Total,58980,9029,8642,12017,12410,4041,1188,1866,1481,4081,4225,824110.1,16.3
2011,Bridgend,W06000013,Total,61259,10494,9386,9892,10289,6234,3203,752,1695,4813,4501,870252.4,16.8
2011,The Vale of Glamorgan,W06000014,Total,58978,9632,8577,12314,11004,3644,896,840,1805,5886,4380,807245.4,16.6
2011,Cardiff,W06000015,Total,159614,32193,43788,32864,12795,5100,2130,2861,4445,11998,11440,1724618.7,12.7
2011,"Rhondda, Cynon, Taff",W06000016,Total,99327,13137,13251,17306,23861,9762,2945,922,2520,6778,8845,1360727,16.3
2011,Merthyr Tydfil,W06000024,Total,25099,5719,5258,2784,3098,2235,1425,265,669,1680,1966,331619.8,15.5
2011,Caerphilly,W06000018,Total,77488,11632,11267,14582,20375,4888,989,1000,1770,5347,5638,961270.3,14.5
2011,Blaenau Gwent,W06000019,Total,28291,4964,5510,4205,5391,2123,878,673,873,1660,2014,376347.2,15.3
2011,Torfaen,W06000020,Total,40261,7471,7888,7864,6436,2762,774,536,1043,2582,2905,467654.4,13.4
2011,Monmouthshire,W06000021,Total,42817,7083,2779,4721,7350,4903,2748,1307,1830,6619,3477,715811.6,21.9
2011,Newport,W06000022,Total,64408,11067,16790,10854,8978,3383,1436,712,2276,4728,4184,815995.6,14.7
