date,geography,geography code,Rural Urban,Distance travelled to work: All categories: Distance travelled to work; measures: Value,Distance travelled to work: Less than 2km; measures: Value,Distance travelled to work: 2km to less than 5km; measures: Value,Distance travelled to work: 5km to less than 10km; measures: Value,Distance travelled to work: 10km to less than 20km; measures: Value,Distance travelled to work: 20km to less than 30km; measures: Value,Distance travelled to work: 30km to less than 40km; measures: Value,Distance travelled to work: 40km to less than 60km; measures: Value,Distance travelled to work: 60km and over; measures: Value,Distance travelled to work: Work mainly at or from home; measures: Value,Distance travelled to work: Other; measures: Value,Distance travelled to work: Total distance (km); measures: Value,Distance travelled to work: Average distance (km); measures: Value
2011,North Warwickshire,E07000218,Total,31258,3713,3621,6184,6766,2980,876,421,820,3393,2484,390914.6,15.4
2011,Nuneaton and Bedworth,E07000219,Total,60205,9847,12332,11263,9645,4905,1551,790,1510,4381,3981,695201.9,13.4
2011,Rugby,E07000220,Total,50485,8905,10357,6043,7876,3472,1620,1516,1997,5216,3483,657666.3,15.7
2011,Stratford-on-Avon,E07000221,Total,60765,8969,4743,7016,12511,5463,2743,1732,2430,10191,4967,857531.9,18.8
2011,Warwick,E07000222,Total,69608,13046,12720,9860,10547,4267,2107,1322,3096,8208,4435,894156.7,15.7
2011,Birmingham,E08000025,Total,423691,63012,95188,109441,53686,11977,5523,4467,12646,32837,34914,4378263.9,12.3
2011,Coventry,E08000026,Total,137560,23754,39327,24120,14284,7750,2579,1941,4191,10043,9571,1471883,12.5
2011,Dudley,E08000027,Total,141998,22859,35502,31218,20914,4167,1585,1285,3228,10956,10284,1388958.3,11.5
2011,Sandwell,E08000028,Total,128630,20368,34988,33361,14481,2430,1747,1140,3118,7840,9157,1218915.1,10.9
2011,Solihull,E08000029,Total,97941,11583,18059,21995,18576,5121,1350,957,3289,9989,7022,1152211.1,14.2
2011,Walsall,E08000030,Total,112270,18152,25857,24264,19389,2838,1516,1188,2566,8150,8350,1119408.7,11.7
2011,Wolverhampton,E08000031,Total,104284,17889,29100,18678,12333,6342,969,1230,3030,7229,7484,1185100.7,13.2
2011,Bromsgrove,E07000234,Total,46251,5529,4925,7325,12463,3600,1093,706,1446,5759,3405,615829.6,16.6
2011,Malvern Hills,E07000235,Total,34361,5153,3784,4408,5696,2353,1275,1219,1234,6260,2979,454728.7,18.1
2011,Redditch,E07000236,Total,42922,7731,11907,3999,5708,4482,874,383,1065,3623,3150,467733.6,12.9
2011,Worcester,E07000237,Total,50101,12576,13047,3571,4930,2749,2840,1202,1625,4210,3351,603387.8,14.2
2011,Wychavon,E07000238,Total,58268,8213,6640,8814,9307,5793,2654,1808,1900,8527,4612,795280.2,17.6
2011,Wyre Forest,E07000239,Total,46339,8452,8269,5705,6426,5387,1404,769,1084,5143,3700,549931.3,14.7
2011,Bedford,E06000055,Total,75810,13693,16618,8184,8641,6027,2091,1898,4858,7921,5879,1007453.7,16.2
2011,Central Bedfordshire,E06000056,Total,132061,17887,12744,16544,27533,11318,5243,8120,6048,14781,11843,2021669.9,19.2
2011,Luton,E06000032,Total,89201,17868,20564,9403,9646,6117,2549,6216,1842,6171,8825,1093497.8,14.7
2011,Peterborough,E06000031,Total,88044,16209,23938,15367,5179,4488,1914,2314,4851,7158,6626,1155725.4,15.6
2011,Southend-on-Sea,E06000033,Total,81339,18007,16380,8802,5116,3143,1836,10465,2572,7434,7584,1185501.7,17.9
2011,Thurrock,E06000034,Total,77420,9000,12249,10612,13188,10370,6076,1331,1563,5186,7845,1125820.4,17.5
2011,Cambridge,E07000008,Total,59437,15963,19464,3881,3329,1413,705,1205,3620,6417,3440,625020.3,12.6
2011,East Cambridgeshire,E07000009,Total,43919,4838,2865,6053,8579,7203,1957,867,2206,5702,3649,716095.3,20.7
2011,Fenland,E07000010,Total,44514,9093,4733,4764,6559,5105,2191,1268,1967,4683,4151,662067.3,18.6
2011,Huntingdonshire,E07000011,Total,88991,14195,9551,10932,16720,8692,3414,2667,6143,10153,6524,1512978.3,20.9
2011,South Cambridgeshire,E07000012,Total,79139,7490,9453,16225,17179,4486,1790,2162,4272,10476,5606,1097205.7,17.4
2011,Basildon,E07000066,Total,83006,12783,13413,10340,10708,4744,8985,5686,1358,6482,8507,1197799.9,17.6
2011,Braintree,E07000067,Total,74200,11685,7010,6818,13239,6779,2893,5117,4856,8511,7292,1229631,21.1
2011,Brentwood,E07000068,Total,36251,4294,3331,3684,5961,5123,5169,626,541,4094,3428,544000.8,18.9
2011,Castle Point,E07000069,Total,41443,5526,4983,7663,4531,2704,1447,5411,765,3625,4788,624905.5,18.9
2011,Chelmsford,E07000070,Total,86451,14061,14068,7708,12168,5357,3584,11698,1569,8857,7381,1323767.2,18.9
2011,Colchester,E07000071,Total,85587,16112,17862,9872,8059,5448,2803,1868,7572,8617,7374,1301944.8,18.7
2011,Epping Forest,E07000072,Total,61609,6067,5361,8618,15848,8260,2079,731,737,7060,6848,744588.6,15.6
2011,Harlow,E07000073,Total,40401,7572,9872,3879,4980,3568,2912,577,525,2778,3738,436453.4,12.9
2011,Maldon,E07000074,Total,30292,4531,1939,2943,5684,2988,999,1953,1922,4092,3241,497592,21.7
2011,Rochford,E07000075,Total,40662,4613,5304,8455,4156,2018,1190,5802,1027,4056,4041,654231.3,20.1
2011,Tendring,E07000076,Total,54857,10784,7235,5870,8448,4428,924,1404,3962,6231,5571,839244.5,19.5
2011,Uttlesford,E07000077,Total,40772,5020,3130,4502,6499,3344,2118,4553,1661,6217,3728,680004.7,22.1
2011,Broxbourne,E07000095,Total,46222,6372,5676,7976,7822,6906,1046,475,627,3904,5418,517938,14
2011,Dacorum,E07000096,Total,73437,11726,10176,8394,11403,5031,5899,3913,1080,8844,6971,929328.5,16.1
2011,East Hertfordshire,E07000242,Total,72225,10126,6832,9362,11954,5565,7266,5096,1119,8672,6233,1043768,18.2
2011,Hertsmere,E07000098,Total,49428,6641,5555,7699,10057,6540,697,531,637,6104,4967,529626.6,13.8
2011,North Hertfordshire,E07000099,Total,64990,10477,7210,8739,8225,5750,3526,6844,1663,7594,4962,1019277.2,19.4
2011,St Albans,E07000240,Total,71378,8911,8328,10068,9425,7236,9859,1669,1208,9221,5453,1006865.1,17.8
2011,Stevenage,E07000243,Total,42738,7194,10571,3385,6318,2744,1751,3151,789,3184,3651,545893.9,15.2
2011,Three Rivers,E07000102,Total,43999,4401,6831,7004,6423,5997,2314,591,681,5416,4341,524892.1,15.3
2011,Watford,E07000103,Total,47634,9418,8371,5083,6288,7623,1006,612,685,4048,4500,513910.9,13.1
2011,Welwyn Hatfield,E07000241,Total,52981,10180,7634,6869,7882,4966,3676,945,938,5452,4439,630430.2,14.6
2011,Breckland,E07000143,Total,61301,11077,4972,5470,10845,8666,3329,2189,2184,7477,5092,970238.9,19.9
2011,Broadland,E07000144,Total,61541,6741,11257,13695,11150,3239,1008,673,1761,6724,5293,738878.4,14.9
2011,Great Yarmouth,E07000145,Total,41264,9196,8479,4920,3964,3008,1544,691,1432,3817,4213,558152.3,16.8
2011,King`s Lynn and West Norfolk,E07000146,Total,67268,11415,10087,8185,11297,4347,2125,2484,3402,7965,5961,983465.4,18.4
2011,North Norfolk,E07000147,Total,43183,7459,3198,4988,6464,4465,2587,1024,1701,6822,4475,665899.1,20.9
2011,Norwich,E07000148,Total,62424,17244,19686,6630,3102,2251,1514,706,2058,4781,4452,635173.8,11.9
2011,South Norfolk,E07000149,Total,60333,6393,5990,11317,13401,4606,2185,1256,2006,7820,5359,855039.7,18.1
2011,Babergh,E07000200,Total,42250,6656,4701,5318,7727,3555,1278,917,2547,5776,3775,633870.1,19.4
2011,Forest Heath,E07000201,Total,31540,6728,3070,4556,5370,2777,857,997,1373,3079,2733,432235.3,16.8
2011,Ipswich,E07000202,Total,65479,16126,18385,6845,6392,2498,1471,1061,2882,4674,5145,738597,13.3
2011,Mid Suffolk,E07000203,Total,48570,6195,4066,6931,9166,4951,2164,1362,2207,7274,4254,741786.1,20
2011,St Edmundsbury,E07000204,Total,56483,12834,8440,4510,6973,6434,2340,2324,2145,6340,4143,786752.6,17.1
2011,Suffolk Coastal,E07000205,Total,58257,9641,8285,9020,9972,3152,1515,1081,2739,8232,4620,782056.6,17.2
2011,Waveney,E07000206,Total,49181,10437,9468,4795,7404,2581,1979,1080,1639,4967,4831,655097.3,16.6
2011,Camden,E09000007,Total,108966,17698,27648,29373,6766,1417,489,585,1449,14366,9175,723599.6,8.5
2011,City of London,E09000001,Total,4747,2257,846,384,137,31,23,17,83,687,282,26319.9,7
2011,Hackney,E09000012,Total,118556,16130,30252,34482,9033,1420,476,603,1427,11963,12770,796679.2,8.5
2011,Hammersmith and Fulham,E09000013,Total,99618,14006,18115,34833,10020,1412,584,592,1140,10416,8500,735802.1,9.1
2011,Haringey,E09000014,Total,124296,10703,14934,45250,18941,2445,660,594,1583,12465,16721,1028679.1,10.8
2011,Islington,E09000019,Total,106765,15364,36943,25510,5836,1462,507,587,1400,10122,9034,706803.9,8.1
2011,Kensington and Chelsea,E09000020,Total,81387,11176,19866,22399,5389,761,412,418,968,13510,6488,533237.2,8.7
2011,Lambeth,E09000022,Total,166494,14376,32941,64043,17599,2468,1118,1093,2120,13862,16874,1321567.1,9.7
2011,Lewisham,E09000023,Total,136057,12466,20203,42449,28783,2449,1107,812,1742,11413,14633,1213111.5,11
2011,Newham,E09000025,Total,132454,14025,19480,28419,31363,4038,1311,1193,2068,8945,21612,1259892.8,12.4
2011,Southwark,E09000028,Total,147388,20095,41277,41941,11142,1832,959,1007,2117,12303,14715,1101779.3,9.2
2011,Tower Hamlets,E09000030,Total,120873,24729,31135,30894,9206,1617,866,930,1796,9046,10654,900729.2,8.9
2011,Wandsworth,E09000032,Total,178582,15186,27706,66099,30265,3316,1655,1286,2028,16635,14406,1514911.9,10.3
2011,Westminster,E09000033,Total,111179,21455,32926,22123,5946,1357,702,849,1650,15542,8629,710834,8.2
2011,Barking and Dagenham,E09000002,Total,75217,8092,13079,11472,19586,4839,1112,598,1300,4740,10399,829231.8,13.8
2011,Barnet,E09000003,Total,170658,17057,20734,36206,47142,4071,1370,1086,1799,20968,20225,1469351.1,11.3
2011,Bexley,E09000004,Total,110159,10863,17256,18487,30636,8228,1601,981,1421,8560,12126,1207617.5,13.5
2011,Brent,E09000005,Total,147461,15451,27761,36623,26401,3214,921,768,1868,12856,21598,1194982.9,10.6
2011,Bromley,E09000006,Total,151368,15585,18933,21859,48292,11462,2061,1111,1785,15799,14481,1629513.5,13.5
2011,Croydon,E09000008,Total,172987,22570,24885,29785,45962,10707,1952,1402,2780,15619,17325,1871355.9,13.4
2011,Ealing,E09000009,Total,164820,18151,25809,35784,39550,5096,1349,1320,2011,15002,20748,1476596.1,11.4
2011,Enfield,E09000010,Total,137622,15693,23261,22084,40369,4530,1331,848,1764,12362,15380,1306743.4,11.9
2011,Greenwich,E09000011,Total,117821,11422,17307,25399,32925,3251,1561,794,1664,9610,13888,1180864.2,12.5
2011,Harrow,E09000015,Total,113900,12576,16529,19138,29857,7904,1271,934,1376,11574,12741,1159749.4,12.9
2011,Havering,E09000016,Total,112846,12721,17158,16215,19467,21170,2104,971,1534,8705,12801,1364367.2,14.9
2011,Hillingdon,E09000017,Total,130290,17175,23044,26443,21028,13687,2171,1192,1827,11229,12494,1321592.1,12.4
2011,Hounslow,E09000018,Total,127032,16376,23852,27711,24730,5701,1448,906,1654,11139,13515,1144105.8,11.2
2011,Kingston upon Thames,E09000021,Total,81957,11610,12889,11716,21788,5002,1145,694,1004,8942,7167,827953.3,12.6
2011,Merton,E09000024,Total,104822,10778,15083,18730,33873,2553,1069,701,1161,9455,11419,982213.5,11.7
2011,Redbridge,E09000026,Total,124692,12264,16001,20714,40806,5232,1564,1025,1702,11029,14355,1302450.4,13.1
2011,Richmond upon Thames,E09000027,Total,99204,10657,14139,15697,28346,4720,1513,961,1280,13870,8021,992976.1,12.8
2011,Sutton,E09000029,Total,97658,13437,18695,16339,23297,4180,916,702,1139,8738,10215,910798,11.6
2011,Waltham Forest,E09000031,Total,121021,12441,15249,28045,31352,3017,982,734,1443,9193,18565,1067747.9,11.4
2011,Bracknell Forest,E06000036,Total,61914,9218,10398,8615,11509,4938,1692,2428,1035,6875,5206,703116,14.1
2011,Brighton and Hove,E06000043,Total,139823,32300,31065,12447,10361,3367,5017,2366,12275,17356,13269,2061388.9,18.9
2011,Isle of Wight,E06000046,Total,59299,14437,6986,11072,10019,1064,584,535,1794,7280,5528,585835.7,12.6
2011,Medway,E06000035,Total,126689,18518,23639,16670,16464,7024,5182,13207,3130,9922,12933,1932807.1,18.6
2011,Milton Keynes,E06000042,Total,127783,17859,31324,27041,8823,6106,2338,3210,8819,12488,9775,1616771.9,15.3
2011,Portsmouth,E06000044,Total,96619,23310,24425,14837,6030,4603,1506,1450,4092,7092,9274,1091009.4,13.6
2011,Reading,E06000038,Total,79852,17851,19296,8319,6930,5424,2183,3423,3054,6999,6373,940846.3,14.2
2011,Slough,E06000039,Total,67300,11851,13519,11082,9741,4514,2980,922,1037,4977,6677,684165.1,12.3
2011,Southampton,E06000045,Total,112608,23327,31310,19111,9171,3367,1989,2190,4129,7767,10247,1187855.2,12.6
2011,West Berkshire,E06000037,Total,81679,12398,12674,11932,10948,6241,2997,2827,4124,10689,6849,1081177.8,16.9
2011,Windsor and Maidenhead,E06000040,Total,73951,10708,9904,10960,12364,4804,4079,3318,1125,10898,5791,869114.7,15.2
2011,Wokingham,E06000041,Total,81377,8973,13735,15652,11223,5906,2615,4475,1719,10842,6237,992865.2,15.4
2011,Aylesbury Vale,E07000004,Total,90724,13967,10450,8919,14159,9544,4065,5711,3834,12152,7923,1358947.3,19.2
2011,Chiltern,E07000005,Total,44785,4989,3842,5660,7119,3639,4843,2676,620,7188,4209,629814.2,18.9
2011,South Bucks,E07000006,Total,33117,2950,4297,5832,5427,2741,2532,812,483,5211,2832,403600.4,16.1
2011,Wycombe,E07000007,Total,86350,12871,12315,12508,11486,6802,3872,5697,1419,11425,7955,1070682.7,16
2011,Eastbourne,E07000061,Total,44449,10878,12587,2411,2825,2890,1335,984,2111,4417,4011,523681.8,14.5
2011,Hastings,E07000062,Total,40671,9764,10893,3426,1709,1843,1030,1103,2181,4386,4336,485295.8,15.2
2011,Lewes,E07000063,Total,45532,7454,3856,5810,10068,2448,1053,1168,2880,6310,4485,664807.6,19.1
2011,Rother,E07000064,Total,37583,5760,3699,5358,5364,1850,1174,1106,2621,6336,4315,534662.2,19.9
2011,Wealden,E07000065,Total,71084,8830,5950,8584,12760,5880,2480,3927,3156,11746,7771,1034673.5,20.1
2011,Basingstoke and Deane,E07000084,Total,90122,15127,17453,10406,11321,7392,2584,3748,5164,10042,6885,1246823.7,17
2011,East Hampshire,E07000085,Total,58457,8504,4041,7431,10179,5532,2927,2151,3526,8475,5691,907593,20.5
2011,Eastleigh,E07000086,Total,65768,9220,9714,16737,10722,2290,1286,1427,2456,6198,5718,775509.5,14.4
2011,Fareham,E07000087,Total,56445,7428,10338,11385,10412,2350,575,1158,2382,5596,4821,731909.8,15.9
2011,Gosport,E07000088,Total,40063,7279,10283,8098,3631,1807,434,484,1527,2886,3634,472100.9,14.1
2011,Hart,E07000089,Total,48047,5471,5282,9182,7170,2998,1884,3493,1745,6957,3865,696170.9,18.7
2011,Havant,E07000090,Total,55555,8629,10090,10845,8685,2328,1115,1112,2174,4964,5613,663775.3,14.8
2011,New Forest,E07000091,Total,82993,12784,10072,14215,14076,6134,2097,1061,3518,11249,7787,1103284,17.3
2011,Rushmoor,E07000092,Total,51087,9689,10006,6933,6927,3301,1334,2989,1143,4529,4236,618556.2,14.6
2011,Test Valley,E07000093,Total,59611,10533,8689,8483,7799,4975,2087,1913,3130,7402,4600,847794.9,17.8
2011,Winchester,E07000094,Total,57318,9063,6237,6502,10325,4139,1894,1921,4072,8633,4532,927171.9,21
2011,Ashford,E07000105,Total,57546,9451,10813,5025,5994,4915,2424,1310,4917,7206,5491,932471.5,20.8
2011,Canterbury,E07000106,Total,65620,13863,8069,9812,7095,4802,1916,1922,4957,7592,5592,1036394.8,19.8
2011,Dartford,E07000107,Total,49611,6564,8033,7190,6864,9063,1800,632,762,3809,4894,631407.4,15.4
2011,Dover,E07000108,Total,50396,9500,6126,5906,9853,4443,987,954,2755,5191,4681,761433.8,18.8
2011,Gravesham,E07000109,Total,47639,6344,6097,6804,7922,3781,5333,1216,1066,3912,5164,696928.4,18.1
2011,Maidstone,E07000110,Total,78090,12097,12730,9853,10469,5129,2575,6322,2381,9110,7424,1100861.7,17.9
2011,Sevenoaks,E07000111,Total,56015,6017,4640,6567,9108,7102,7322,1356,853,7654,5396,823139,19.2
2011,Shepway,E07000112,Total,48280,9838,7041,4769,7069,4008,931,1482,3104,5307,4731,752996.1,19.7
2011,Swale,E07000113,Total,62810,11411,8079,6067,11249,4517,2031,2972,4208,6447,5829,987868.3,19.5
2011,Thanet,E07000114,Total,55200,11232,13109,7197,2645,4071,1000,1140,3770,5793,5243,808698.5,18.3
2011,Tonbridge and Malling,E07000115,Total,59993,7681,6945,9612,8538,4048,3222,6605,1140,6831,5371,902211.7,18.9
2011,Tunbridge Wells,E07000116,Total,57234,10311,7712,5831,5953,2948,1980,7647,1682,8021,5149,876363,19.9
2011,Cherwell,E07000177,Total,74829,15543,9914,8762,10963,6288,3203,2247,3768,8567,5574,1024707.5,16.9
2011,Oxford,E07000178,Total,69807,17594,21648,6322,4620,1266,1639,1310,3478,7287,4643,701727.7,12.1
2011,South Oxfordshire,E07000179,Total,70087,11103,6381,10225,12347,5777,2346,2622,3093,10398,5795,926935.3,17.2
2011,Vale of White Horse,E07000180,Total,63181,9769,7849,11743,10438,4644,1689,1389,2893,7808,4959,799235.3,15.9
2011,West Oxfordshire,E07000181,Total,56515,10490,3742,7891,10738,5893,1574,1265,2563,7665,4694,765313.6,17.3
2011,Elmbridge,E07000207,Total,64730,6566,8453,9503,9740,11703,1939,587,805,9879,5555,749168.7,15.2
2011,Epsom and Ewell,E07000208,Total,38005,4927,5960,6363,6749,5067,488,348,409,4114,3580,396919.9,13.1
2011,Guildford,E07000209,Total,70021,10678,10930,8957,9480,4604,3850,5359,1147,9154,5862,897249.1,16.3
2011,Mole Valley,E07000210,Total,42422,5472,4520,5742,7452,4463,2708,799,478,6784,4004,487547,15.4
2011,Reigate and Banstead,E07000211,Total,71236,9834,10810,10872,10271,7459,5073,1201,1011,8477,6228,852513.2,15.1
2011,Runnymede,E07000212,Total,40651,6733,6293,6858,6407,2769,2251,431,632,4809,3468,433299.5,13.4
2011,Spelthorne,E07000213,Total,50161,6584,9478,11841,6601,4467,992,413,712,4808,4265,490257,11.9
