la_code,msoa_code
E06000001,E02002483
E06000001,E02002484
E06000001,E02002485
E06000001,E02002487
E06000001,E02002488
E06000001,E02002489
E06000001,E02002490
E06000001,E02002491
E06000001,E02002492
E06000001,E02002493
E06000001,E02002494
E06000001,E02006909
E06000002,E02002496
E06000002,E02002497
E06000002,E02002498
E06000002,E02002499
E06000002,E02002500
E06000002,E02002501
E06000002,E02002502
E06000002,E02002503
E06000002,E02002504
E06000002,E02002505
E06000002,E02002506
E06000002,E02002507
E06000002,E02002508
E06000002,E02002509
E06000002,E02002510
E06000002,E02002512
E06000002,E02002513
E06000002,E02002514
E06000002,E02006811
E06000003,E02002515
E06000003,E02002516
E06000003,E02002517
E06000003,E02002518
E06000003,E02002519
E06000003,E02002520
E06000003,E02002521
E06000003,E02002523
E06000003,E02002524
E06000003,E02002525
E06000003,E02002526
E06000003,E02002527
E06000003,E02002529
E06000003,E02002530
E06000003,E02002532
E06000003,E02002533
E06000003,E02002534
E06000003,E02006812
E06000003,E02006910
E06000004,E02002535
E06000004,E02002536
E06000004,E02002537
E06000004,E02002538
E06000004,E02002539
E06000004,E02002540
E06000004,E02002541
E06000004,E02002542
E06000004,E02002543
E06000004,E02002544
E06000004,E02002545
E06000004,E02002546
E06000004,E02002547
E06000004,E02002548
E06000004,E02002549
E06000004,E02002550
E06000004,E02002551
E06000004,E02002552
E06000004,E02002553
E06000004,E02002554
E06000004,E02002555
E06000004,E02002556
E06000004,E02002557
E06000004,E02002558
E06000005,E02002559
E06000005,E02002560
E06000005,E02002561
E06000005,E02002562
E06000005,E02002563
E06000005,E02002564
E06000005,E02002565
E06000005,E02002566
E06000005,E02002567
E06000005,E02002568
E06000005,E02002569
E06000005,E02002570
E06000005,E02002571
E06000005,E02002572
E06000005,E02002573
E06000047,E02004290
E06000047,E02004291
E06000047,E02004292
E06000047,E02004293
E06000047,E02004294
E06000047,E02004295
E06000047,E02004296
E06000047,E02004297
E06000047,E02004298
E06000047,E02004299
E06000047,E02004300
E06000047,E02004301
E06000047,E02004302
E06000047,E02004303
E06000047,E02004304
E06000047,E02004305
E06000047,E02004306
E06000047,E02004307
E06000047,E02004308
E06000047,E02004309
E06000047,E02004310
E06000047,E02004311
E06000047,E02004312
E06000047,E02004313
E06000047,E02004314
E06000047,E02004315
E06000047,E02004316
E06000047,E02004317
E06000047,E02004318
E06000047,E02004319
E06000047,E02004320
E06000047,E02004321
E06000047,E02004322
E06000047,E02004323
E06000047,E02004324
E06000047,E02004325
E06000047,E02004326
E06000047,E02004327
E06000047,E02004328
E06000047,E02004329
E06000047,E02004330
E06000047,E02004331
E06000047,E02004332
E06000047,E02004333
E06000047,E02004334
E06000047,E02004335
E06000047,E02004336
E06000047,E02004337
E06000047,E02004338
E06000047,E02004339
E06000047,E02004340
E06000047,E02004341
E06000047,E02004342
E06000047,E02004343
E06000047,E02004344
E06000047,E02004345
E06000047,E02004346
E06000047,E02004347
E06000047,E02004348
E06000047,E02004349
E06000047,E02004350
E06000047,E02004351
E06000047,E02004352
E06000047,E02004353
E06000047,E02004354
E06000047,E02004355
E06000048,E02005702
E06000048,E02005703
E06000048,E02005704
E06000048,E02005705
E06000048,E02005706
E06000048,E02005707
E06000048,E02005708
E06000048,E02005709
E06000048,E02005710
E06000048,E02005711
E06000048,E02005712
E06000048,E02005713
E06000048,E02005714
E06000048,E02005715
E06000048,E02005716
E06000048,E02005717
E06000048,E02005718
E06000048,E02005719
E06000048,E02005720
E06000048,E02005721
E06000048,E02005722
E06000048,E02005723
E06000048,E02005724
E06000048,E02005725
E06000048,E02005726
E06000048,E02005727
E06000048,E02005728
E06000048,E02005729
E06000048,E02005730
E06000048,E02005731
E06000048,E02005732
E06000048,E02005733
E06000048,E02005734
E06000048,E02005735
E06000048,E02005736
E06000048,E02005737
E06000048,E02005738
E06000048,E02005739
E06000048,E02005740
E06000048,E02005741
E08000020,E02001682
E08000020,E02001683
E08000020,E02001684
E08000020,E02001685
E08000020,E02001686
E08000020,E02001688
E08000020,E02001689
E08000020,E02001690
E08000020,E02001691
E08000020,E02001692
E08000020,E02001693
E08000020,E02001694
E08000020,E02001695
E08000020,E02001696
E08000020,E02001697
E08000020,E02001698
E08000020,E02001699
E08000020,E02001700
E08000020,E02001701
E08000020,E02001702
E08000020,E02001703
E08000020,E02001704
E08000020,E02001705
E08000020,E02001706
E08000020,E02001707
E08000020,E02006841
E08000020,E02006842
E08000021,E02001708
E08000021,E02001709
E08000021,E02001710
E08000021,E02001711
E08000021,E02001712
E08000021,E02001713
E08000021,E02001714
E08000021,E02001715
E08000021,E02001718
E08000021,E02001719
E08000021,E02001720
E08000021,E02001721
E08000021,E02001722
E08000021,E02001723
E08000021,E02001724
E08000021,E02001725
E08000021,E02001726
E08000021,E02001727
E08000021,E02001728
E08000021,E02001729
E08000021,E02001730
E08000021,E02001731
E08000021,E02001732
E08000021,E02001733
E08000021,E02001734
E08000021,E02001735
E08000021,E02001736
E08000021,E02001737
E08000021,E02006893
E08000022,E02001738
E08000022,E02001739
E08000022,E02001740
E08000022,E02001741
E08000022,E02001742
E08000022,E02001743
E08000022,E02001744
E08000022,E02001745
E08000022,E02001746
E08000022,E02001747
E08000022,E02001748
E08000022,E02001749
E08000022,E02001750
E08000022,E02001751
E08000022,E02001752
E08000022,E02001753
E08000022,E02001754
E08000022,E02001755
E08000022,E02001756
E08000022,E02001757
E08000022,E02001758
E08000022,E02001759
E08000022,E02001760
E08000022,E02001761
E08000022,E02001762
E08000022,E02001763
E08000022,E02001764
E08000022,E02001765
E08000022,E02001766
E08000022,E02001767
E08000023,E02001768
E08000023,E02001769
E08000023,E02001770
E08000023,E02001771
E08000023,E02001772
E08000023,E02001773
E08000023,E02001774
E08000023,E02001775
E08000023,E02001776
E08000023,E02001777
E08000023,E02001778
E08000023,E02001779
E08000023,E02001780
E08000023,E02001781
E08000023,E02001782
E08000023,E02001783
E08000023,E02001784
E08000023,E02001785
E08000023,E02001786
E08000023,E02001787
E08000023,E02001788
E08000023,E02001789
E08000023,E02001790
E08000024,E02001791
E08000024,E02001792
E08000024,E02001793
E08000024,E02001794
E08000024,E02001795
E08000024,E02001796
E08000024,E02001797
E08000024,E02001798
E08000024,E02001799
E08000024,E02001800
E08000024,E02001801
E08000024,E02001802
E08000024,E02001803
E08000024,E02001804
E08000024,E02001805
E08000024,E02001806
E08000024,E02001807
E08000024,E02001808
E08000024,E02001809
E08000024,E02001810
E08000024,E02001811
E08000024,E02001812
E08000024,E02001813
E08000024,E02001814
E08000024,E02001815
E08000024,E02001816
E08000024,E02001817
E08000024,E02001818
E08000024,E02001819
E08000024,E02001820
E08000024,E02001821
E08000024,E02001822
E08000024,E02001823
E08000024,E02001824
E08000024,E02001825
E08000024,E02001826
E06000006,E02002574
E06000006,E02002575
E06000006,E02002576
E06000006,E02002577
E06000006,E02002578
E06000006,E02002579
E06000006,E02002580
E06000006,E02002581
E06000006,E02002582
E06000006,E02002583
E06000006,E02002584
E06000006,E02002585
E06000006,E02002586
E06000006,E02002587
E06000006,E02002588
E06000006,E02002589
E06000007,E02002590
E06000007,E02002591
E06000007,E02002592
E06000007,E02002593
E06000007,E02002594
E06000007,E02002595
E06000007,E02002596
E06000007,E02002597
E06000007,E02002598
E06000007,E02002599
E06000007,E02002600
E06000007,E02002601
E06000007,E02002602
E06000007,E02002603
E06000007,E02002604
E06000007,E02002605
E06000007,E02002606
E06000007,E02002607
E06000007,E02002608
E06000007,E02002609
E06000007,E02002610
E06000007,E02002611
E06000007,E02002612
E06000007,E02002613
E06000007,E02002614
E06000008,E02002615
E06000008,E02002616
E06000008,E02002617
E06000008,E02002618
E06000008,E02002619
E06000008,E02002620
E06000008,E02002621
E06000008,E02002622
E06000008,E02002623
E06000008,E02002624
E06000008,E02002625
E06000008,E02002626
E06000008,E02002627
E06000008,E02002628
E06000008,E02002629
E06000008,E02002630
E06000008,E02002631
E06000008,E02002632
E06000009,E02002633
E06000009,E02002634
E06000009,E02002635
E06000009,E02002636
E06000009,E02002637
E06000009,E02002638
E06000009,E02002639
E06000009,E02002640
E06000009,E02002641
E06000009,E02002642
E06000009,E02002643
E06000009,E02002644
