la_code,pccar_11,pccycle_11,pcwalk_11,pcactive_11
E06000001,35.73289025,1.082270523,6.757080414,7.839350937
E06000002,32.32986246,1.389344711,7.024296128,8.413640839
E06000003,38.23366305,0.901418676,5.778557528,6.679976204
E06000004,42.95789668,1.219304108,5.345031069,6.564335177
E06000005,39.83949892,1.526717557,8.644875057,10.17159261
E06000047,40.1801999,0.584425059,6.200429395,6.784854454
E06000048,41.18486948,0.916286489,7.256543066,8.172829554
E08000020,35.58776059,0.906273003,5.689530588,6.595803591
E08000021,26.70766311,1.554043897,7.513247895,9.067291792
E08000022,37.3435482,1.622162568,5.391881749,7.014044317
E08000023,33.56364871,1.305732192,5.569778218,6.87551041
E08000024,35.98067642,0.783256791,5.788802833,6.572059625
E06000006,42.39763559,1.312723821,5.8646503,7.177374121
E06000007,47.64921953,1.751627515,5.102334388,6.853961903
E06000008,36.94992195,0.574619075,7.540917667,8.115536742
E06000009,33.4486047,1.876450926,8.853419129,10.72987005
E06000049,45.78986023,1.757131311,6.620705436,8.377836747
E06000050,45.01819827,1.761839156,6.574818531,8.336657687
E07000026,41.32407225,0.994674406,9.139451661,10.13412607
E07000027,34.19564409,3.222902765,10.88585797,14.10876074
E07000028,40.80924419,1.779180445,11.10761841,12.88679886
E07000029,41.15024098,1.085347805,6.453265531,7.538613335
E07000030,43.02052407,0.890667355,11.70259455,12.59326191
E07000031,40.47816856,1.83038599,12.32741227,14.15779826
E07000117,38.74337289,0.634309518,7.285092148,7.919401666
E07000118,48.11947318,0.974346787,6.143763055,7.118109842
E07000119,43.08631564,1.793047815,6.816515107,8.609562922
E07000120,41.65124409,0.697443279,6.857906642,7.555349921
E07000121,35.76614777,2.469601921,9.214296778,11.6838987
E07000122,40.04655493,0.785226567,8.227808814,9.013035382
E07000123,36.26939521,1.413268002,8.372003651,9.785271653
E07000124,49.21884462,0.942230834,7.394937629,8.337168463
E07000125,47.19720419,0.481278083,5.330004993,5.811283075
E07000126,49.76509483,2.007258445,5.182828308,7.190086753
E07000127,43.174716,1.073516256,6.257276259,7.330792515
E07000128,43.02306117,1.78205838,5.733747087,7.515805467
E08000001,40.2833756,0.641182127,5.990344903,6.63152703
E08000002,43.32043924,0.887242273,5.561041526,6.448283799
E08000003,25.1245652,2.274032988,8.020745198,10.29477819
E08000004,38.00331737,0.635308109,6.35120333,6.986511439
E08000005,38.60627725,0.604286968,5.658561496,6.262848463
E08000006,35.00580532,1.459706441,8.384502966,9.844209408
E08000007,43.6685987,1.364765477,5.444936925,6.809702401
E08000008,39.7178231,0.883196353,6.210245325,7.093441679
E08000009,43.40196307,2.139970271,5.461100942,7.601071214
E08000010,44.03560329,1.015666293,5.908370156,6.924036449
E08000011,34.23861335,0.912816165,5.451462484,6.364278649
E08000012,26.80987234,1.138210471,7.063517861,8.201728331
E08000013,41.87168169,0.859674034,5.070842079,5.930516113
E08000014,36.7805769,1.63322351,6.167600922,7.800824432
E08000015,38.15794603,0.998912719,5.180830926,6.179743644
E06000010,30.95115681,4.764702796,6.965007083,11.72970988
E06000011,43.58371947,2.432877025,6.935837195,9.368714219
E06000012,38.92145774,3.350802518,7.163516745,10.51431926
E06000013,44.8969582,2.450768011,6.377882595,8.828650606
E06000014,31.96830208,7.541942332,12.1811348,19.72307713
E07000163,42.22338726,0.856301178,11.20681047,12.06311164
E07000164,44.88391694,1.915562026,10.06206421,11.97762624
E07000165,44.15194935,1.552114208,10.35882776,11.91094197
E07000166,41.99265239,1.215978475,13.01873124,14.23470972
E07000167,41.6114526,2.096804236,9.518107554,11.61491179
E07000168,32.91222148,1.395589032,13.34626478,14.74185382
E07000169,49.35388397,1.70788116,5.691319888,7.399201048
E08000016,41.51462692,0.422522813,6.073178604,6.495701417
E08000017,39.18425187,1.494496937,6.078948917,7.573445854
E08000018,42.10120292,0.532030922,4.914901654,5.446932576
E08000019,32.92036087,1.064223219,7.471946745,8.536169964
E08000032,35.80172411,0.468301581,6.732620277,7.200921858
E08000033,41.1115443,0.606993533,7.020421333,7.627414866
E08000034,40.91160635,0.595389233,6.212035391,6.807424624
E08000035,35.87792793,1.132568659,7.500057948,8.632626607
E08000036,41.54864998,0.791296157,6.358585377,7.149881534
E06000015,38.42803041,2.354273221,8.007652364,10.36192558
E06000016,29.37803428,2.10500677,9.6283728,11.73337957
E06000017,41.52003549,2.343634482,10.96776578,13.31140027
E06000018,24.48119549,1.87786549,8.593453756,10.47131925
E07000032,46.5712582,0.892245853,6.342896265,7.235142119
E07000033,44.48654929,0.502279024,5.367771919,5.870050943
E07000034,41.31973982,0.688400581,6.925885694,7.614286275
E07000035,44.43803147,0.706067952,8.330447497,9.036515449
E07000036,44.67673014,2.293938917,6.323766176,8.617705093
E07000037,42.86307854,0.931902833,9.283414207,10.21531704
E07000038,46.3476722,0.451946638,4.143751702,4.595698339
E07000039,51.98560115,1.107271418,4.6825054,5.789776818
